id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_bulan,nama_bulan,rata_rata_harga_produsen,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1,JANUARI,18658,RUPIAH/KILOGRAM,2021
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,2,FEBRUARI,19071,RUPIAH/KILOGRAM,2021
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,3,MARET,19423,RUPIAH/KILOGRAM,2021
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,4,APRIL,19238,RUPIAH/KILOGRAM,2021
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,5,MEI,20165,RUPIAH/KILOGRAM,2021
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,6,JUNI,20135,RUPIAH/KILOGRAM,2021
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,7,JULI,21710,RUPIAH/KILOGRAM,2021
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,8,AGUSTUS,20677,RUPIAH/KILOGRAM,2021
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,9,SEPTEMBER,19966,RUPIAH/KILOGRAM,2021
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,10,OKTOBER,19741,RUPIAH/KILOGRAM,2021
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,11,NOVEMBER,19133,RUPIAH/KILOGRAM,2021
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,12,DESEMBER,18823,RUPIAH/KILOGRAM,2021
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1,JANUARI,20065,RUPIAH/KILOGRAM,2021
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2,FEBRUARI,21000,RUPIAH/KILOGRAM,2021
15,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3,MARET,21000,RUPIAH/KILOGRAM,2021
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4,APRIL,17167,RUPIAH/KILOGRAM,2021
17,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5,MEI,17000,RUPIAH/KILOGRAM,2021
18,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6,JUNI,19067,RUPIAH/KILOGRAM,2021
